X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB;;;;;;;;;;
1407846,4919396,671030,,603300,0,0,0,2,0,East,2006,CRAIGLEITH ST,NORTH ROAD,,Non-Injury Crash,No,2005,0,South,0,0,0,Hill Road,0,,0,,0,Dark,2870400,0,0,0,2,0,0,0,0,1,,0,0,Otago Region,Nil,2-way,Sealed,0,0,0,0,50,0,None,0,0,,71,Dunedin City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1770136,5899141,671031,,523911,0,,0,2,,North,2017,GREAT SOUTH ROAD,CHALLEN CLOSE,,Non-Injury Crash,No,2017,,North,,0,,Flat,,,,,,Overcast,768100,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,1,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Null,Null;;;;;;;;;;
1782877,5866509,671032,,527221,0,0,0,1,0,South,2010,SH 1N,SPRINGHILL ROAD,,Non-Injury Crash,Yes,2010,0,North,1,0,0,Flat,0,Queens Birthday,0,,0,Dark,934600,0,0,0,4,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,13,Waikato District,Unknown,0,0,0,0,0,0,Open,0,0,0,Heavy rain,Null;;;;;;;;;;
1271810.754,5010612.9558,671033,75,609028,0,,0,0,,East,2020,006-0983,MORVEN FERRY ROAD,,Serious Crash,Yes,2019,,East,,0,,Hill Road,,,,,,Overcast,3039805,0,0,1,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,1,,100,,None,0,0,,70,Queenstown-Lakes District,Unknown,,,,,0,0,Open,0,,,Heavy rain,Null;;;;;;;;;;
1570104,5181425,671034,,592401,0,,0,2,,South,2019,STONEYHURST ST,DERBY ST,,Non-Injury Crash,No,2018,,North,,0,,Flat,,,,,,Overcast,2686402,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,60,Christchurch City,Nil,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1769401,5911428,671035,,523113,0,,0,1,,Null,2011,TI RAKAU DRIVE,GREENMOUNT DRIVE,,Non-Injury Crash,No,2011,,West,,0,,Flat,,,,,,Overcast,711703,0,0,0,6,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,60,,Off,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,1,,,Fine,Null;;;;;;;;;;
1793411,5500708,671036,,564210,0,0,0,1,0,Null,2006,SH 1N,QUEEN ST EAST,,Non-Injury Crash,Yes,2006,0,North,0,0,0,Flat,0,,0,,0,Bright sun,1865000,0,0,0,2,0,0,0,0,0,,0,0,Manawatu-Wanganui Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,42,Horowhenua District,Traffic Signals,1,1,0,0,0,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1558048,5173830,671037,,587849,0,,0,1,,North,2016,SHANDS ROAD,ALAMEDA PLACE,,Non-Injury Crash,No,2015,,South,,0,,Flat,,,,,,Overcast,2500400,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,80,,Null,0,0,,62,Selwyn District,Unknown,,,,,0,0,Open,1,,,Fine,Null;;;;;;;;;;
1239565,5013442,671038,,609013,0,,1,0,,Null,2007,GLENORCHY-QUEENSTOWN ROAD,UNKNOWN CRASH LOCATION,,Non-Injury Crash,No,2006,,South,,0,,Hill Road,,,,,,Bright sun,3039300,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,100,,Null,1,0,,70,Queenstown-Lakes District,Unknown,,,,,0,0,Open,0,,,Fine,Null;;;;;;;;;;
1568388,5179354,671039,,590900,0,0,0,1,0,North,2001,LOWE ST,TYNE ST,,Non-Injury Crash,No,2001,0,North,0,0,0,Flat,0,,0,,0,Bright sun,2475500,0,0,0,2,0,0,0,0,1,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,60,Christchurch City,Unknown,0,0,0,0,1,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1770541,5468600,671040,,566302,0,0,0,1,0,West,2017,NIKAU PALM ROAD,MAUI POMARE ROAD,,Serious Crash,No,2017,0,East,0,0,1,Hill Road,0,,0,,0,Dark,1998405,1,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,1,0,80,0,None,0,0,,43,Kapiti Coast District,Unknown,0,0,0,1,0,0,Open,0,0,0,Light rain,Strong wind;;;;;;;;;;
1878557,5822095,671041,,538102,0,,0,1,,South,2015,FRASER ST,FOURTEENTH AVENUE,,Non-Injury Crash,No,2014,,South,,0,,Flat,,,,,,Bright sun,1168700,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Off,2,0,,23,Tauranga City,Nil,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1924088,5607419,671042,,548612,0,0,0,1,0,Null,2003,BAKER ST,BURTON CRESCENT,,Non-Injury Crash,No,2002,0,North,0,0,0,Flat,0,,0,,0,Dark,1474003,0,0,0,2,0,0,0,1,0,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,30,Hastings District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null;;;;;;;;;;
1567100,5177492,671043,,595300,0,,0,2,,Null,2006,SH 75 HALSWELL,CURLETTS ROAD,,Non-Injury Crash,Yes,2006,,North,,0,,Flat,,,,,,Overcast,2629301,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,60,Christchurch City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1822882,5530528,671044,,562402,0,,0,2,,West,2003,GREY ST,RUAHINE ST,,Minor Crash,No,2003,,East,,0,,Flat,,,,,,Overcast,1835000,1,0,0,2,,,0,,,,,,Manawatu-Wanganui Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,1,,40,Palmerston North City,Nil,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1561226,5181760,671045,,587811,0,0,0,0,0,East,2011,SH 73,POUND ROAD,,Non-Injury Crash,Yes,2010,0,East,0,0,0,Flat,0,,0,,0,Dark,2495000,0,0,0,2,0,0,0,0,0,,0,1,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,100,0,On,1,0,,60,Christchurch City,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null;;;;;;;;;;
